"No.","Zone Name","Zone Channel Member","Zone Channel Member RX Frequency","Zone Channel Member TX Frequency","A Channel","A Channel RX Frequency","A Channel TX Frequency","B Channel","B Channel RX Frequency","B Channel TX Frequency","Zone Hide "
"1","VHF FM SIMPLEX","145.200 FM|145.2125 FM|145.225.FM|145.2375 FM|145.250 FM|145.2625 FM|145.275 FM|145.2875 FM|145.300 FM|145.3125 FM|145.325 FM|145.3375 FM|145.350 FM|145.3625 FM|145.375 FM|145.3875 FM|145.400 FM|145.4125 FM|145.425 FM|145.4375 FM|145.450 FM|145.4625 FM|145.475 FM|145.4875 FM|145.500 FM|145.5125 FM|145.525 FM|145.5375 FM|145.550 FM|145.5625 FM","145.20000|145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.32150|145.32500|145.33750|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.45000|145.46250|145.47500|145.48750|145.50000|145.51250|145.52500|145.53750|145.55000|145.56250","145.20000|145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.32150|145.32500|145.33750|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.45000|145.46250|145.47500|145.48750|145.50000|145.51250|145.52500|145.53750|145.55000|145.56250","145.525 FM","145.52500","145.52500","145.525 FM","145.52500","145.52500","0"
"2","VHF DMR SIMPLEX","145.200 DMR|145.2125 DMR|145.225 DMR|145.2375 DMR|145.250 DMR|145.2625 DMR|145.275 DMR|145.2875 DMR|145.300 DMR|145.3125 DMR|145.325 DMR|145.3375 DMR|145.350 DMR|145.3625 DMR|145.375 DMR|145.3875 DMR|145.400 DMR|145.4125 DMR|145.425 DMR|145.4375 DMR|145.450 DMR|145.4625 DMR|145.475 DMR|145.4875 DMR|145.500 DMR|145.5125 DMR|145.525 DMR|145.5375 DMR|145.550 DMR|145.5625 DMR","145.20000|145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.31250|145.32500|145.33750|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.45000|145.46250|145.47500|145.48750|145.50000|145.51250|145.52500|145.53750|145.55000|145.56250","145.20000|145.21250|145.22500|145.23750|145.25000|145.26250|145.27500|145.28750|145.30000|145.31250|145.32500|145.33750|145.35000|145.36250|145.37500|145.38750|145.40000|145.41250|145.42500|145.43750|145.45000|145.46250|145.47500|145.48750|145.50000|145.51250|145.52500|145.53750|145.55000|145.56250","145.525 DMR","145.52500","145.52500","145.525 DMR","145.52500","145.52500","0"
"3","UHF FM SIMPLEX","433.400 FM|433.4125 FM|433.425 FM|433.4375 FM|433.450 FM|433.4625 FM|433.475 FM|433.4875 FM|433.500 FM|433.5125 FM|433.525 FM|433.5375 FM|433.550 FM|433.5625 FM|433.575 FM","433.40000|433.41250|433.42500|433.43750|433.45000|433.46250|433.47500|433.48750|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.40000|433.41250|433.42500|433.43750|433.45000|433.46250|433.47500|433.48750|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.400 FM","433.40000","433.40000","433.5375 FM","433.53750","433.53750","0"
"4","UHF DMR SIMPLEX","433.400 DMR|433.4125 DMR|433.425 DMR|433.4375 DMR|433.450 DMR|433.4625 DMR|433.475 DMR|433.4875 DMR|433.500 DMR|433.5125 DMR|433.525 DMR|433.5375 DMR|433.550 DMR|433.5625 DMR|433.575 DMR","433.40000|433.41250|433.42500|433.43750|433.45000|433.46250|433.47500|433.48750|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.40000|433.41250|433.42500|433.43750|433.45000|433.46250|433.47500|433.48750|433.50000|433.51250|433.52500|433.53750|433.55000|433.56250|433.57500","433.400 DMR","433.40000","433.40000","433.400 DMR","433.40000","433.40000","0"
"5","VHM FM RPT","RV46 Ljubljana|RV46 Lisca|RV47 Malic|RV49 Mohor|RV49 Stucin|RV50 Nanos|RV51 Kobla|RV51 Slemene|RV52 Trdinov Vrh|RV52 Kup|RV54 Korada|RV54 Urslja G.|RV54 Kranjska G.|RV55 Zagarski|RV56 Mrzlica|RV57 Pecna Reber|RV58 Vojsko|RV58 Pohorje|RV58 Jesenice|RV59 Ormoz|RV60 Grmada|RV60 Karlovica|RV61 Malija|RV62 Krim|RV63 Kanin|RV63 Mozirje|RV63 Cretez","145.57500|145.57500|145.58750|145.61250|145.61250|145.62500|145.63750|145.63750|145.65000|145.65000|145.67500|145.67500|145.67500|145.68750|145.70000|145.71250|145.72500|145.72500|145.72500|145.73750|145.75000|145.75000|145.76250|145.77500|145.78750|145.78750|145.78750","144.97500|144.97500|144.98750|145.01250|145.01250|145.02500|145.03750|145.03750|145.05000|145.05000|145.07500|145.07500|145.07500|145.08750|145.10000|145.11250|145.12500|145.12500|145.12500|145.13750|145.15000|145.15000|145.16250|145.17500|145.18750|145.18750|145.18750","RV50 Nanos","145.62500","145.02500","RV50 Nanos","145.62500","145.02500","0"
"6","UHF FM RPT","CELJE UHF|BOC UHF|KRVAVEC UHF|GRMADA UHF|BREZICE UHF|RADENCI UHF|PECNA REBER UHF|JANCE UHF|Krvavec KOCA UHF|LAZE UHF|MALA KOPA UHF|CRETEZ UHF|VOJSKO UHF|MALIC UHF|ROGASKA UHF|STRUSKA UHF|KALOBJE UHF|SV.ROK UHF|KOKOS FM|MIRNA GORA UHF|Slemene UHF|Trstelj UHF|Krim UHF|Beli Kriz UHF|Korada UHF|Lisca UHF|Kum UHF|PLANINA UHF|Pohorje HB UHF|Pohorje RS UHF|Mrzlica UHF|Urslja G. U|V. Planina UHF|Kobla UHF|Nanos UHF|Ermanovec FM|GoraDornberk","438.95000|438.82500|438.67500|438.70000|438.72500|438.72500|438.82500|438.87500|438.92500|439.00000|439.15000|439.20000|439.22500|439.30000|439.32500|439.32500|438.42500|438.90000|438.50000|438.60000|438.62500|438.75000|438.77500|438.80000|438.87500|439.07500|439.12500|439.17500|439.20000|439.22500|439.27500|439.37500|438.92500|439.02500|438.70000|438.72500|438.60000","431.35000|431.22500|431.07500|431.10000|431.12500|431.12500|431.22500|431.27500|431.32500|431.40000|431.55000|431.60000|431.62500|431.70000|431.72500|431.72500|430.82500|431.30000|430.90000|431.00000|431.02500|431.15000|431.17500|431.20000|431.27500|431.47500|431.52500|431.57500|431.60000|431.62500|431.67500|431.77500|431.32500|431.42500|431.10000|431.12500|431.00000","KOKOS FM","438.50000","430.90000","Nanos UHF","438.70000","431.10000","0"
"7","EL Prehodi","EL LJ Bezigrad|EL Boh. Bistr.|EL Brezice|EL Cerkno|EL Ajdovscina","144.55000|144.61250|144.61250|145.22500|145.47500","144.45000|144.61250|144.61250|145.22500|145.47500","EL LJ Bezigrad","144.55000","144.45000","EL Boh. Bistr.","144.61250","144.61250","0"
"8","CrossBand FM RPT","ISS Repeater","437.80000","145.99000","ISS Repeater","437.80000","145.99000","ISS Repeater","437.80000","145.99000","0"
"9","Osrednja SLO","LJ TR3 TS1|LJ TR3 TS2|Zagarski TS1|Zagarski TS2|Krim TS1|Krim TS2|V. Planina UHF|V. Planina TS1|V. Planina TS2","438.50000|438.50000|438.55000|438.55000|438.20000|438.20000|438.92500|438.92500|438.92500","430.90000|430.90000|430.95000|430.95000|430.60000|430.60000|431.32500|431.32500|431.32500","LJ TR3 TS1","438.50000","430.90000","LJ TR3 TS2","438.50000","430.90000","0"
"10","Gorenjska","Jesenice TS1|Jesenice TS2|Stol TS1|Stol TS2|Lubnik TS1|Lubnik TS2|Ermanovec TS1|Ermanovec TS2","438.22500|438.22500|439.40000|439.40000|438.25000|438.25000|438.72500|438.72500","430.62500|430.62500|431.80000|431.80000|430.65000|430.65000|431.12500|431.12500","Jesenice TS1","438.22500","430.62500","Jesenice TS2","438.22500","430.62500","0"
"11","Goriska","Kanin TS1|Kanin TS2|N. G. TS1|N. G. TS2|Polj. Ravne TS1|Polj. Ravne TS2|Breginj TS1|Breginj TS2|Kuk TS1|Kuk TS2|Kobla V TS1|Kobla V TS2|Kobla U TS1|Kobla U TS2|Korada TS1|Korada TS2|Javornik TS1|Javornik TS2","439.30000|439.30000|439.25000|439.25000|439.27500|439.27500|439.15000|439.15000|439.35000|439.35000|145.63750|145.63750|439.02500|439.02500|439.07500|439.07500|438.32500|438.32500","431.70000|431.70000|431.65000|431.65000|431.67500|431.67500|431.55000|431.55000|431.75000|431.75000|145.03750|145.03750|431.42500|431.42500|431.47500|431.47500|430.72500|430.72500","Kanin TS1","439.30000","431.70000","Kanin TS2","439.30000","431.70000","0"
